timestamp,lat,lon,speed
1771133897.2715337,21.41741,74.976465,34.0
1771134797.0673764,21.420403,74.977665,48.0
1771134797.113824,21.420403,74.977665,48.0
1771135153.9432786,21.425792,74.979495,37.0
1771135153.946219,21.425792,74.979495,37.0
1771135183.984364,21.426685,74.979657,0.0
1771135183.9885173,21.426685,74.979657,0.0
1771135218.2114363,21.42668,74.979623,0.0
1771135218.219639,21.42668,74.979623,0.0
1771135248.7451088,21.426812,74.979598,0.0
1771135248.7497766,21.426812,74.979598,0.0
1771135275.398332,21.427113,74.979605,0.0
1771135275.4114778,21.427113,74.979605,0.0
1771135305.3523583,21.42764,74.979728,0.0
1771135305.3543222,21.42764,74.979728,0.0
1771135335.158615,21.427693,74.97961,0.0
1771135335.1631114,21.427693,74.97961,0.0
1771135364.832309,21.427913,74.97955,0.0
1771135364.955673,21.427913,74.97955,0.0
1771135397.2302136,21.428122,74.979492,0.0
1771135397.2406843,21.428122,74.979492,0.0
1771135426.8089414,21.428975,74.979538,15.0
1771135426.8090036,21.428975,74.979538,15.0
1771135544.762598,21.429185,74.979923,11.0
1771135544.769003,21.429185,74.979923,11.0
1771135574.523625,21.431487,74.982905,26.0
1771135574.7279353,21.431487,74.982905,26.0
1771135606.8826363,21.476132,74.998708,51.0
1771135607.0455525,21.476132,74.998708,51.0
1771135637.1627624,21.499338,75.014753,78.0
1771135637.3410673,21.499338,75.014753,78.0
1771135664.481002,21.513548,75.031842,55.0
1771135664.7633262,21.513548,75.031842,55.0
1771135696.702156,21.525085,75.043035,49.0
1771135696.8557966,21.525085,75.043035,49.0
1771135724.8794768,21.542298,75.050347,27.0
1771135724.8821173,21.542298,75.050347,27.0
1771135755.7064304,21.543528,75.050688,36.0
1771135755.7730803,21.543528,75.050688,36.0
1771135785.3812962,21.547077,75.051428,27.0
1771135814.2028022,21.548915,75.051857,27.0
1771135814.2296317,21.548915,75.051857,27.0
1771135844.630246,21.551417,75.052683,41.0
1771135844.6414576,21.551417,75.052683,41.0
1771135876.3378737,21.553068,75.053225,38.0
1771135876.3386357,21.553068,75.053225,38.0
1771135967.0090456,21.559413,75.053667,37.0
1771135967.0423627,21.559413,75.053667,37.0
1771135996.3409588,21.56262,75.053645,17.0
1771135996.3826354,21.56262,75.053645,17.0
1771136026.6900525,21.563262,75.05352,15.0
1771136026.6979377,21.563262,75.05352,15.0
1771136776.0084188,21.564817,75.052722,27.0
1771136776.3440526,21.564817,75.052722,27.0
1771136804.443004,21.57462,75.053105,32.0
1771136809.1712365,21.57462,75.053105,32.0
1771136835.3451629,21.576248,75.057722,0.0
1771136837.2951705,21.576248,75.057722,0.0
1771136864.7460468,21.57691,75.058758,0.0
1771136867.0648532,21.57691,75.058758,0.0
1771136895.4212627,21.581125,75.057667,16.0
1771136897.7747045,21.581125,75.057667,16.0
1771136924.0137773,21.604308,75.069068,58.0
1771136926.0507436,21.604308,75.069068,58.0
1771136954.6718855,21.620812,75.072802,45.0
1771136956.4627314,21.620812,75.072802,45.0
1771136985.702559,21.624795,75.074542,61.0
1771136987.20361,21.624795,75.074542,61.0
1771137013.8190622,21.62992,75.075867,57.0
1771137016.81721,21.62992,75.075867,57.0
1771137045.9997778,21.634917,75.076523,78.0
1771137047.6998813,21.634917,75.076523,78.0
1771137074.399398,21.640862,75.077002,82.0
1771137076.6904907,21.640862,75.077002,82.0
1771137105.2010248,21.645207,75.07713,43.0
1771137107.3950844,21.645207,75.07713,43.0
1771137135.726463,21.649623,75.078222,74.0
1771137138.0637248,21.649623,75.078222,74.0
1771137164.6868696,21.655783,75.079243,84.0
1771137166.383932,21.655783,75.079243,84.0
1771137195.9007628,21.659727,75.080297,0.0
1771137197.5315032,21.659727,75.080297,0.0
1771137236.5771325,21.65964,75.080362,0.0
1771137238.0857885,21.65964,75.080362,0.0
1771137254.6840105,21.660432,75.081483,44.0
1771137256.175217,21.660432,75.081483,44.0
1771137285.9127743,21.662085,75.085955,70.0
1771137287.4295769,21.662085,75.085955,70.0
1771137314.2607536,21.664235,75.091665,83.0
1771137317.3510666,21.664235,75.091665,83.0
1771137344.431253,21.667918,75.097155,82.0
1771137345.6263545,21.667918,75.097155,82.0
1771137374.0600133,21.672392,75.101847,83.0
1771137378.0027332,21.672392,75.101847,83.0
1771137437.9863636,21.67676,75.106433,79.0
1771137438.139477,21.67676,75.106433,79.0
1771137465.8432484,21.681147,75.110377,81.0
1771137466.0450318,21.681147,75.110377,81.0
1771137498.2240603,21.683942,75.112028,85.0
1771137498.320048,21.683942,75.112028,85.0
1771137526.7832823,21.692967,75.114627,78.0
1771137526.784463,21.692967,75.114627,78.0
1771137554.6525993,21.698125,75.114643,19.0
1771137554.6554537,21.698125,75.114643,19.0
1771137586.9976113,21.701658,75.114662,66.0
1771137587.349335,21.701658,75.114662,66.0
1771137614.4645152,21.704378,75.114683,75.0
1771137614.775798,21.704378,75.114683,75.0
1771137647.6755548,21.71333,75.117303,82.0
1771137676.965037,21.718145,75.119688,62.0
1771137676.9723113,21.718145,75.119688,62.0
1771137706.1218479,21.720972,75.12103,0.0
1771137706.125846,21.720972,75.12103,0.0
1771137734.4004853,21.722592,75.121823,52.0
1771137734.4189956,21.722592,75.121823,52.0
1771137766.7605803,21.726413,75.122747,46.0
1771137766.764149,21.726413,75.122747,46.0
1771137794.5951984,21.730475,75.12518,78.0
1771137794.606456,21.730475,75.12518,78.0
1771137826.9208193,21.734028,75.128682,48.0
1771137826.9424968,21.734028,75.128682,48.0
1771137854.6092713,21.736487,75.131853,56.0
1771137854.6153455,21.736487,75.131853,56.0
1771137886.853319,21.73901,75.135495,55.0
1771137886.8548641,21.73901,75.135495,55.0
1771137914.589297,21.741957,75.139538,74.0
1771137914.5927954,21.741957,75.139538,74.0
1771137944.0479398,21.74648,75.144235,83.0
1771137944.0539627,21.74648,75.144235,83.0
1771137977.5394688,21.749927,75.149652,80.0
1771137977.6485462,21.749927,75.149652,80.0
1771138007.2008984,21.754332,75.154477,81.0
1771138007.203663,21.754332,75.154477,81.0
1771138035.9816046,21.756285,75.156098,9.0
1771138035.9864736,21.756285,75.156098,9.0
1771138064.023946,21.75656,75.156367,0.0
1771138064.1371963,21.75656,75.156367,0.0
1771138096.9203136,21.757757,75.157608,45.0
1771138096.9278896,21.757757,75.157608,45.0
1771138125.5833735,21.761415,75.160492,69.0
1771138125.6529326,21.761415,75.160492,69.0
1771138157.915594,21.76729,75.162295,83.0
1771138158.1722648,21.76729,75.162295,83.0
1771138186.6440463,21.773107,75.164955,86.0
1771138186.993625,21.773107,75.164955,86.0
1771138217.8710654,21.77685,75.166542,35.0
1771138217.9632382,21.77685,75.166542,35.0
1771138243.8550112,21.780625,75.16791,64.0
1771138243.8918931,21.780625,75.16791,64.0
1771138277.4642572,21.785727,75.169185,66.0
1771138277.6470647,21.785727,75.169185,66.0
1771138306.0213907,21.790177,75.16977,62.0
1771138306.0270936,21.790177,75.16977,62.0
1771138333.8432865,21.795357,75.170305,77.0
1771138333.8972793,21.795357,75.170305,77.0
1771138367.4499276,21.798287,75.171157,35.0
1771138367.4601042,21.798287,75.171157,35.0
1771138396.0984714,21.80052,75.171968,22.0
1771138396.1163762,21.80052,75.171968,22.0
1771138423.864825,21.802985,75.173003,52.0
1771138423.879284,21.802985,75.173003,52.0
1771138454.1057239,21.807173,75.174817,64.0
1771138454.1106763,21.807173,75.174817,64.0
1771138484.8503377,21.811642,75.176862,66.0
1771138484.8541837,21.811642,75.176862,66.0
1771138518.1087742,21.81631,75.179093,59.0
1771138518.122918,21.81631,75.179093,59.0
1771138545.78568,21.820242,75.181453,71.0
1771138545.941225,21.820242,75.181453,71.0
1771138606.702923,21.825155,75.184622,76.0
1771138634.418514,21.827972,75.186427,41.0
1771138634.4215395,21.827972,75.186427,41.0
1771138666.6154203,21.831403,75.188827,68.0
1771138666.6172397,21.831403,75.188827,68.0
1771138694.2567282,21.838722,75.193332,74.0
1771138694.2618775,21.838722,75.193332,74.0
1771138726.898205,21.842353,75.195002,68.0
1771138726.9067988,21.842353,75.195002,68.0
1771138755.2853084,21.843915,75.19607,26.0
1771138755.316251,21.843915,75.19607,26.0
1771138788.1212804,21.844353,75.195907,0.0
1771138788.1547081,21.844353,75.195907,0.0
1771139745.2665012,21.844368,75.195878,0.0
